"","log10PeakFlux","log10Ta","PhotonIndex","log10NH","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10TaSqr","PhotonIndexSqr","log10NHSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"140206A",1.28780173,3.59073,1.04,22.00531353,-9.730487056,1.22509,1.971275849,0.672,1.88134,-4.795880017,1.65843329579099,12.8933419329,1.0816,484.233823553601,94.6823783469835,1.5008455081,3.88592847285067,0.451584,3.5394401956,23.0004651374599,0.063811704252879,0.012995,0.021325,0.015545,0.021902336,0.008143022,0.15,0.011193157,"140206A",2.73,0.571708831808688
"140213A",1.371067862,3.829176603,1.8,20.99187128,-10.12551818,1.108879519,1.77815125,0.83,1.96657,-4.920818754,1.87982708220925,14.6625934569626,3.24,440.658659836089,102.526118413511,1.22961378765767,3.16182186787656,0.6889,3.8673975649,24.2144572097181,0.0189868108841264,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.014784493,"140213A",1.2076,0.343920385393226
"140419A",0.69019608,3.68383,1.21,22.04094236,-10.00568285,1.36898,1.976349979,0.678,1.87322,-4.795880017,0.476370628847366,13.5706034689,1.4641,485.803140116842,100.113689294784,1.8741062404,3.9059592394933,0.459684,3.5089531684,23.0004651374599,0.0175057628798656,0.023985,0.02442,0.017885,0.001,0,0.04,0.017726305,"140419A",3.956,0.695131297704026
"140423A",0.322219295,3.90552,1.33,21.81946365,-10.85078089,1.18974,2.127104798,0.77,2.06486,-5.026872146,0.103825274070297,15.2530864704,1.7689,476.088993973671,117.739445922789,1.4154812676,4.52457482167462,0.5929,4.2636468196,25.2694435722306,0.0745819195938403,0.05035,0.05495,0.045115,0.149849463,0.013860462,0.06,0.041361379,"140423A",3.26,0.629409599102719
"140430A",0.397940009,4.14388,2,21.67796993,-11.36251027,0.875171,2.239549721,1.03,2.15785,-5.958607315,0.15835625076292,17.1717414544,4,469.934380285984,129.106639635855,0.765924279241,5.01558295283118,1.0609,4.6563166225,35.5050011343715,0.00923562857095551,0.0861,0.13071,0.0833725,0.035,0.078962633,0.22,0.034743559,"140430A",1.6,0.414973347970818
"140506A",1.037426498,3.30686,1.68,21.81764402,-9.903089987,0.948932,2.045714059,0.9,1.74751,-5.552841969,1.07625373875254,10.9353230596,2.8224,476.009590583442,98.0711912906197,0.900471940624,4.18494601119025,0.81,3.0537912001,30.8340539326878,0.0373575732732516,0.05516,0.06882,0.01557,0.047966029,0.046531552,0.16,0.035859177,"140506A",0.889,0.276231957921834
"140509A",0.204119983,3.58709,1.59,20.90144742,-11.09770006,1.40649,1.17092730333444,0.86,1.93407,-5.920818754,0.0416649674599203,12.8672146681,2.5281,436.870504251025,123.158946621724,1.9782141201,1.37107074969407,0.7396,3.7406267649,35.0560947177181,0.151511196244018,0.08395,0.088715,0.10418,0.22,0.04379136,0.121212121,0.117055576617339,"140509A",2.4,0.531478917042255
"140512A",0.832508913,3.53686,1.45,21.32824297,-9.504455662,1.25134,2.189770956,0.871,1.84304,-4.853871964,0.693071090224441,12.5093786596,2.1025,454.893948187355,90.3346774309239,1.5658517956,4.79509683974115,0.758641,3.3967964416,23.5600730429052,0.0134302087658966,0.01504,0.022285,0.02006,0.002482817,0.00930631,0.04,0.019160051,"140512A",0.725,0.236789099409293
"140518A",0,3.77824,0.92,22.46148952,-11.31158018,1.64981,1.781755375,0.94,1.93772,-6,0,14.2750974976,0.8464,504.51851145707,127.951846168569,2.7218730361,3.17465221634139,0.8836,3.7547587984,36,0.0174377429302028,0.09045,0.070125,0.18819,0,0.043429448,0.61,0.043429448,"140518A",4.707,0.756407872548958
"140614A",-1.4317581319867,3.70006,1.5,20.65703194,-10.9589,1.35595,2.857332496,0.83,1.77015,-5.886056648,2.04993134851005,13.6904440036,2.25,426.71296857018,120.09748921,1.8386004025,8.16434899269759,0.6889,3.1334310225,34.645662863465,0.0965452754396361,0.1129,0.098945,0.093145,0.05,0.133629071,0.46,0.163321606984505,"140614A",4.233,0.718750734739665
"140629A",0.62324929,2.85608,1.86,21.74269921,-9.847711656,1.16056,1.62324929,0.815,1.95996,-5.619788758,0.388439677485504,8.1571929664,3.4596,472.744968936535,96.9774248597183,1.3468995136,2.6349382574855,0.664225,3.8414432016,31.5820256845432,0.119342969960682,0.042785,0.06161,0.03501,0.001678552,0.036191207,0.11,0.041361379,"140629A",2.275,0.515211304327802
"141004A",0.785329835,3.30337,1.86,21.49730845,-10.61083392,1.54959,0.593286067,1.08,1.79496,-6.173925197,0.616742949741127,10.9122533569,3.4596,462.134270594441,112.589796477823,2.4012291681,0.351988357296328,1.1664,3.2218814016,38.1173523381515,0.118918281385487,0.0853,0.081935,0.09774,0.005,0.019446022,0.08,0.021358745,"141004A",0.573,0.196728722623287
"141121A",-0.045757491,5.76634,1.73,21.59590717,-12.65757732,2.33322,2.74028372,0.82,1.93447,-5.27572413,0.00209374798261508,33.2506769956,2.9929,466.383206495257,160.214263611778,5.4439155684,7.50915486609704,0.6724,3.7421741809,27.8332650958643,0.0298708467389642,0.1675,0.090095,0.2969,0.01,0.032776942,0.13,0.144764827,"141121A",1.47,0.392696953259666
"141220A",0.949390007,2.77561,0.62,21.48574413,-9.872830386,1.42066,0.857935265,1.1,1.80565,-5.585026652,0.90134138539146,7.7040108721,0.3844,461.63720081983,97.4727798307249,2.0182748356,0.73605291893062,1.21,3.2603719225,31.1925227035503,0.0285379269708387,0.042455,0.057375,0.050735,0.07,0.016703634,0.38,0.034157993,"141220A",1.3195,0.365394376854778
"150120B",0.079181246,3.39431,2.2,21.52664292,-10.79048499,1.17705,2.01762288488796,0.92,2.01678,-6.26760624,0.00626966971811252,11.5213403761,4.84,463.396355405186,116.434566319415,1.3854467025,4.0708021056236,0.8464,4.0674015684,39.2828879796869,0.0141299769251025,0.0711,0.090535,0.057705,0.005,0.039006078,0.151515152,0.0542106768002651,"150120B",3.5,0.653212513775344
"150314A",1.58546073,2.49217,1.08,22.01715025,-8.609064893,1.19079,1.169968174,0.73,1.84772,-4.657577319,2.51368572637213,6.2109113089,1.1664,484.754905131075,74.1159983318851,1.4179808241,1.36882552817289,0.5329,3.4140691984,21.6930264824632,0.07726686575266,0.015025,0.015855,0.009925,0,0.005922197,0.03,0.010152339,"150314A",1.758,0.440594261839831
"150403A",1.245512668,3.19694,1.23,21.79039707,-8.821023053,1.24471,1.611723308,0.679,1.70996,-4.769551079,1.55130180614848,10.2204253636,1.5129,474.821404468265,77.8104477015574,1.5493029841,2.59765202155046,0.461041,2.9239632016,22.7486174951901,0.127565659236116,0.005105,0.006975,0.00458,0,0.00766402,0.04,0.014805494,"150403A",2.06,0.48572142648158
"150821A",-1.49776679460977,2.95174,2.1,22.340573,-8.853871964,1.82628,2.23578087,0.848,2.21622,-6.102372909,2.24330537103562,8.7127690276,4.41,499.101201968329,78.3910487549052,3.3352986384,4.99871609865796,0.719104,4.9116310884,37.2389551204971,0.249936990327389,0.021105,0.015485,0.027365,5e-04,0.104450572,0.37,0.188398851647283,"150821A",0.755,0.244277120801843
"151021A",0.986771734,3.15765,1.57,22.33647975,-9.642065153,1.33346,2.042181595,1.27,1.96079,-4.552841969,0.973718455021367,9.9707535225,2.4649,498.91832762216,92.9694204146969,1.7781155716,4.17050566695674,1.6129,3.8446974241,20.7283699946878,0.0143797213110485,0.06282,0.05208,0.02141,0.04,0.015510517,0.04,0.035818102,"151021A",2.33,0.52244423350632
"151027A",0.832508913,3.99907,1.72,21.65076489,-9.935542011,1.74508,2.11290649,0.9235,2.00612,-5.107905397,0.693071090224441,15.9925608649,2.9584,468.755620322057,98.7149950523459,3.0453042064,4.46437383548412,0.85285225,4.0245174544,26.0906975447017,0.0183350782696789,0.02221,0.01731,0.02499,0.002440971,0.011135756,0.05,0.038320101,"151027A",0.81,0.257678574869184
"151215A",0.204119983,3.06337,1.99,21.3403271524632,-10.72815839,1.07478,1.250420002,1.015,2.20942,-6.508638306,0.0416649674599203,9.3842357569,3.9601,455.409562974157,115.093382440927,1.1551520484,1.56355018140168,1.030225,4.8815367364,42.3623725983306,0.0244827442519859,0.093,0.11588,0.071395,0.35435971,0.098066496,0.33,0.05428681,"151215A",2.59,0.555094448578319
"160117B",-0.705929807788426,4.10299,1.73,20.95374423,-11.74958,0.973333,0.697062187810827,0.64,1.83834,-6.4710833,0.498336893524204,16.8345269401,2.9929,439.059397256258,138.0526301764,0.947377128889,0.485895693675617,0.4096,3.3794939556,41.8749190755389,0.214744065864423,0.12265,0.162075,0.093958,0.015,0.005627928835757,0.0041822719666068,0.122191721784807,"160117B",0.87,0.271841606536499
"160121A",0.079181246,3.8244,1.77,21.0144589014828,-11.17263073,0.798663,1.079181246,1.02,2.2054,-6.214670165,0.00626966971811252,14.62603536,3.1329,441.60748292211,124.82767742894,0.637862587569,1.16463216171811,1.0404,4.86378916,38.6221252597411,0.0862757376305275,0.0694,0.120385,0.106048,0.03,0.035597908,0.13,0.072382414,"160121A",1.96,0.471291711058939
"160203A",0.113943352,3.66139836,1.93,22.0158332,-11.36754271,1.146279559,1.305351369,0.61,1.75592,-5.920818754,0.0129830874649959,13.4058379506107,3.7249,484.696911490222,129.221027263674,1.31395682738123,1.70394219655017,0.3721,3.0832550464,35.0560947177181,0.0695758261024457,0.08458679,0.087010427,0.0601909,0.25,0.036191207,0.2,0.133629071,"160203A",3.52,0.655138434811382
"160227A",-0.22184875,4.47751,0.75,21.4198963,-10.99567863,1.10229,2.500373714,0.679,1.72551,-5.508638306,0.0492168678765625,20.0480958001,0.5625,458.811957502754,120.904948534239,1.2150432441,6.25186870966215,0.461041,2.9773847601,30.3450959863305,0.103418641469029,0.03055,0.03885,0.03434,0.001,0.028018999,0.51,0.072382414,"160227A",2.38,0.528916700277655
"160327A",0.255272505,3.76407,1.84,20.72655851,-11.22402567,1.49693,1.447158031,0.78,1.93554,-5.853871964,0.065164051808975,14.1682229649,3.3856,429.590227668453,125.978752240819,2.2407994249,2.0942663666878,0.6084,3.7463150916,34.2678169709052,0.143091047665439,0.0673,0.06033,0.1004,0.02,0.031021034,0.11,0.048254942,"160327A",4.99,0.777426822389311
"160804A",0.462397998,4.38419,1.4,21.30214687,-11.5214335,0.948229,2.15896526,0.92,1.87827,-4.943095149,0.213811908554408,19.2211219561,1.96,453.781461271051,132.743429894922,0.899138236441,4.66113099388687,0.8464,3.5278981929,24.4341896520673,0.057915224642575,0.05875,0.095375,0.070062,0.005,0.011428802,0.23,0.044927015,"160804A",0.736,0.239549720840473
"161108A",-0.22184875,4.69106,1.85,21.16074757,-11.81247928,0.883711,2.021602716,0.84,2.00325,-5.958607315,0.0492168678765625,22.0060439236,3.4225,447.777237721261,139.534666740429,0.780945131521,4.08687754133858,0.7056,4.0130105625,35.5050011343715,0.0491496346156657,0.13355,0.18179,0.0812555,0.005,0.039481317,0.17,0.072382414,"161108A",1.159,0.334252642334231
"161117A",0.832508913,4.08464,1.19,21.87736847,-10.74958,1.141,2.099335278,1.375,1.92624,-4.698970004,0.693071090224441,16.6842839296,1.4161,478.61925117215,115.5534701764,1.301881,4.40720860945534,1.890625,3.7104005376,22.0803190984918,0.00378540226960351,0.03835,0.04019,0.02365,0.674290141,0,0.12,0.019160051,"161117A",1.549,0.406369835469268
"161129A",0.531478917,3.70506,1.57,21.51361441,-10.43651891,2.32574,1.550595207,0.71,1.74506,-5.443697499,0.282469839215493,13.7274696036,2.4649,462.83560498216,108.920926958788,5.4090665476,2.40434549597137,0.5041,3.0452344036,29.6338424606189,0.0255903856698547,0.10625,0.050725,0.10628,0.005,0.012063736,0.06,0.025546734,"161129A",0.645,0.216165902285993
"161219B",0.72427587,4.0135,1.29,21.16590877,-10.13667714,0.871656,0.84135947,0.73,1.86204,-5.823908741,0.524575535864257,16.10818225,1.6641,447.995694059963,102.752223440599,0.759784182336,0.707885757758681,0.5329,3.4671929616,33.9179130234962,0.0495608716177928,0.0277,0.03841,0.008668,0,0.028952965,0.35,0.032776942,"161219B",0.1475,0.0597526942092988
"170202A",0.672097858,3.77629,1.68,21.7153121,-10.65364703,1.1958,1.664641976,1.04,1.99768,-5.48148606,0.451715530728188,14.2603661641,2.8224,471.554779600406,113.500195039828,1.42993764,2.77103290826118,1.0816,3.9907253824,30.0466894259743,0.10761765896651,0.04485,0.068655,0.059155,0,0.013160439,0.07,0.027720924,"170202A",3.645,0.666985718329661
"170405A",-0.0335186812736592,3.6300738,1.59,20.86974084,-10.31069114,1.81152426,2.216693599,0.612,1.8473,-5.431798276,0.00112350199432515,13.1774357934464,2.5281,435.546082728764,106.310351784474,3.28162014456855,4.91373051184757,0.374544,3.41251729,29.5044325111566,0.0933217274509788,0.048255345,0.035670699,0.072401387,0.0475,0.035213066,0.12,0.153952769308304,"170405A",3.51,0.65417654187796
"170519A",-0.15490196,4.1513,1.94,21.33992622,-11.06348626,1.37345,2.335257256,0.975,1.97351,-5.958607315,0.0239946172118416,17.23329169,3.7636,455.392451075043,122.400728225209,1.8863649025,5.45342645170065,0.950625,3.8947417201,35.5050011343715,0.0991498519285518,0.053,0.052235,0.066745,0.224423613,0.078962633,0.26,0.062042069,"170519A",0.818,0.259593878885949
"170531B",-0.096910013,3.80257,1.95,21.12149747,-11.39577395,1.02082,2.215187969,0.99,2.06685,-5.698970004,0.00939155061966017,14.4595386049,3.8025,446.117655375216,129.863663919499,1.0420734724,4.90705773800235,0.9801,4.2718689225,32.4782591064918,0.0233394026693868,0.08415,0.11435,0.107427,0.035,0.043429448,0.14,0.10857362,"170531B",2.366,0.527114111639805
"170705A",1.1430148,3.63746,1.65,21.08891889,-10.18641901,0.774169,2.337059726,0.66,1.89159,-5.022276395,1.30648283301904,13.2311152516,2.7225,444.742499948999,103.763132247289,0.599337640561,5.4618481628912,0.4356,3.5781127281,25.2232601877742,0.0361306862803674,0.04055,0.06603,0.027333,0.005,0.013714563,0.05,0.012497683,"170705A",2.01,0.478566495593843
"170903A",0.591064607,4.41384,1.94,21.73970839,-11.26042766,0.971187,1.465382851,1.14,2.20256,-5.619788758,0.349357369648064,19.4819835456,3.7636,472.614920882236,126.797231086093,0.943204188969,2.14734690000489,1.2996,4.8512705536,31.5820256845432,0.0534696645518069,0.04095,0.065935,0.051271,0.005,0.036191207,0.12,0.05567878,"170903A",0.886,0.27554168840131
"171205A",0,5.48376,1.41,22.44245468,-12.42945706,1.13263,2.277379975,0.67,1.66173,-5.443697499,0,30.0716237376,1.9881,503.663772063854,154.491402806384,1.2828507169,5.186459550531,0.4489,2.7613465929,29.6338424606189,0.0806407286915141,0.0719,0.109545,0.115455,0.01,0.036191207,0.14,0.130288345,"171205A",0.0368,0.0156949885265181
"171222A",-0.15490196,4.78231,2.07,20.02880298,-12.10957898,0.718496,2.242541428,1.34,1.99001,-5.721246399,0.0239946172118416,22.8704889361,4.2849,401.152948811657,146.641903072858,0.516236502016,5.02899205629628,1.7956,3.9601398001,32.7326603580705,0.0563106258915239,0.20975,0.378455,0.126956,0.015,0.045715209,0.17,0.124084138,"171222A",2.409,0.532627001228891
"180205A",0.531478917,3.21372,2.04,21.4933967,-10.30627305,1.09633,1.190331698,1.03,1.88733,-6,0.282469839215493,10.3279962384,4.1616,461.966101703571,106.219264181156,1.2019394689,1.41688955126356,1.0609,3.5620145289,36,0.0875106835560367,0.06455,0.088815,0.042095,0.005,0.043429448,0.13,0.038320101,"180205A",1.409,0.381836799998343
"180329B",0.146128036,4.02296,0.97,21.41988474,-11.14935376,1.50063,2.322219295,0.77,1.86768,-5.48148606,0.0213534029052173,16.1842071616,0.9409,458.811462274885,124.308089265626,2.2518903969,5.3927024540703,0.5929,3.4882285824,30.0466894259743,0.091090048181127,0.04825,0.04314,0.069665,0,0.039481317,0.56,0.124084138,"180329B",1.998,0.476831628512261
"180620B",0.556302501,4.6659,1.3,21.21643247,-10.98296666,1.09835,2.29841638,0.9,1.99236,-5,0.309472472618855,21.77062281,1.69,450.13700675407,120.625556654672,1.2063727225,5.2827178558523,0.81,3.9694983696,25,0.0599542916300528,0.0437,0.067125,0.059445,0.005,0.013028834,0.2,0.024127471,"180620B",1.1175,0.325823419002744
"180624A",0.146128036,4.171185481,1.91,21.1034582,-11.54363397,1.243849338,2.686993566,0.95,2.06008,-5.236572006,0.0213534029052173,17.3987883169052,3.6481,445.355947999147,133.255485233338,1.54716117564304,7.2199344237254,0.9025,4.2439296064,27.4216863740229,0.0343795484387942,0.088149935,0.099379055,0.123366444,0,0.022463508,0.1,0.062042069,"180624A",2.855,0.586024382386976
"180720B",1.831869774,3.62033,1.36,21.24271531,-8.847711656,1.34127,3.06444019010425,0.729,1.8461,-4.065501549,3.35574686889481,13.1067893089,1.8496,451.252953741708,78.2820015477183,1.7990052129,9.39079367872618,0.531441,3.40808521,16.5283028449214,0.00138098327707093,0.004975,0.00614,0.005375,0,0.005049936,0.03,0.016629833,"180720B",0.654,0.218535505216528
"180728A",2.120573931,3.8695,1.97,21.58733599,-9.42365865,1.1986,0.938519725,0.8595,1.70111,-4.528708289,4.49683379683679,14.97303025,3.8809,466.013075145149,88.8053423517198,1.43664196,0.880819274214076,0.73874025,2.8937752321,20.5091987668573,0.0148761559757772,0.009885,0.014745,0.0091,0.042486494,0.008803267,0.03,0.009541318,"180728A",0.117,0.0480531731156091
"181010A",0.146128036,3.15711,1.52,22.27837171,-9.928117993,1.07011,1.214843848,1.115,1.76613,-6.161150909,0.0213534029052173,9.9673435521,2.3104,496.325846048928,98.5675268829304,1.1451354121,1.47584557502345,1.243225,3.1192151769,37.9597805234715,0.0580681587793652,0.034615,0.057805,0.033375,0.007041969,0.04405886,0.15,0.062042069,"181010A",1.39,0.378397900948138
"181020A",0.886490725,4.29043,1.25,20.65703194,-10.42365865,2.64643,2.376576957,1.228,1.93674,-5.091514981,0.785865805511026,18.4077895849,1.5625,426.71296857018,108.65265965172,7.0035917449,5.64811803254338,1.507984,3.7509618276,25.9235248017474,0.0211468897196027,0.1418,0.047555,0.091985,0.029531206,0.016084981,0.06,0.016920564,"181020A",2.938,0.595275711802099
"190114A",-0.301029996,3.74534,2.06,21.6447605,-10.75202673,1.18375,1.823474229,0.86,1.83214,-6.096910013,0.09061905849176,14.0275717156,4.2436,468.49565710236,115.606078802635,1.4012640625,3.32505826382714,0.7396,3.3567369796,37.1723117066197,0.0664080102705681,0.03365,0.042215,0.04616,0,0.065144172,0.22,0.173717793,"190114A",3.3765,0.641126932803509
"190719C",0.740362689,4.88123,1.64,20.95382587,-11.257,1.55953,2.268811904,0.915,1.5415,-5.292429824,0.548136911263311,23.8264063129,2.6896,439.062818590281,126.720049,2.4321338209,5.14750745573211,0.837225,2.37622225,28.0098134419647,0.0226602223323686,0.2175,0.1943,0.21085,0.22,0.025546734,0.09,0.02368879,"190719C",2.469,0.54020429984206
"190829A",1.255272505,4.0838,2.56,22.04910001,-9.56068,1.03996,1.764922985,1.16,2.0913,-5.193820026,1.57570906180898,16.67742244,6.5536,486.162811250982,91.4066020624,1.0815168016,3.11495314298131,1.3456,4.37353569,26.9757664624786,0.0660733687520347,0.013585,0.01916,0.009675,0.075,0.047500959,0.21,0.065144172,"190829A",0.0785,0.0328201494385639
"191011A",0.255272505,3.15321333,1.94,21.65033473,-10.8132081,1.30602449,0.867467488,0.94,1.81479,-6.48148606,0.065164051808975,9.94275430448969,3.7636,468.736993921044,116.925469413906,1.70569996847976,0.75249984273703,0.8836,3.2934627441,42.0096615459743,0.0559978453284278,0.05719327,0.06597695,0.05756962,0.19,0.052641755,0.17,0.048254942,"191011A",1.722,0.434888120867316
"191221B",0.681241237,1.95518066,1.24,21.91683806,-8.11145684,1.15734724,1.681241237,1.39,1.843,-4.721246399,0.46408962298929,3.82273141323804,1.5376,480.347790548265,65.7957320671828,1.33945263393562,2.82657209698929,1.9321,3.396649,22.2901675600705,0.14476482742628,0.06184721,0.05366691,0.00551831,0.175,0.022857604,0.05,0.063334612,"191221B",1.148,0.332034277027518
"200205B",0.301029996,4.53640048,1.36,21.34755638,-11.7337376,1.56884903,2.660865478,0.516,1.90881,-5.26760624,0.09061905849176,20.5789293149442,1.8496,455.718163397279,137.680598065654,2.46128727893194,7.08020509201217,0.266256,3.6435556161,27.7476754996869,0.0051064352834946,0.10035241,0.08886983,0.19267266,0.18,0.016084981,0.22,0.043429448,"200205B",1.465,0.391816923613249
"200829A",1.994317153,2.97975,0.83,21.08966848,-8.6381,1.29833,1.115277591,0.64,1.88219,-4.292429824,3.97730090675002,8.8789100625,0.6889,444.774116596306,74.61677161,1.6856607889,1.24384410498676,0.4096,3.5426391961,18.4249537939647,0.0969169435192129,0.00955,0.00926,0.00866,0.0195,0.008515578,0.03,0.007040235,"200829A",1.25,0.352182518111362
"201104B",0.612783857,2.72159651,1.47,21.73058526,-9.38944702,1.19537497,0.937517892,0.605,1.55046,-5.744727495,0.375504055399796,7.40708756324418,2.1609,472.218335742129,88.1617153413869,1.4289213189025,0.878939797820124,0.366025,2.4039262116,33.001893991809,0.00811616012140756,0.02110237,0.02972805,0.02348264,0.175,0.024127471,0.07,0.031777645,"201104B",1.954,0.470410490975931
"210210A",0.84509804,3.72413045,1.53,21.12319546,-10.1403778,1.5451851,0.819543936,0.965,1.85188,-6.008773924,0.714190697211842,13.8691476086172,2.3409,446.189386441365,102.827261926733,2.38759699326201,0.671652263034372,0.931225,3.4294595344,36.1053640697424,0.038778433249538,0.05799791,0.08857348,0.10645081,0.15,0.035452611,0.58,0.031021034,"210210A",0.715,0.234264124378789
"210411C",0.681241237,2.93128506,1.6,21.05996459,-9.72925773,1.16829405,1.10720997,1.21,1.88408,-5.920818754,0.46408962298929,8.5924321029792,2.56,443.522108532054,94.6584559767648,1.3649109872654,1.2259139176674,1.4641,3.5497574464,35.0560947177181,0.0202577864729536,0.05048963,0.05901459,0.03209979,0.14,0.036191207,0.4,0.027143405,"210411C",2.826,0.582744965691277
"210517A",0.176091259,3.057651,1.85,21.15768338,-10.8415194,1.21043545,0.485721426,0.66,1.71079,-6.823908741,0.0310081314962051,9.349229637801,3.4225,447.647566008328,117.538542900576,1.4651539786167,0.235925303675473,0.4356,2.9268024241,46.5657305054962,0.199990220376636,0.25872455,0.32132806,0.08060357,0.22,0.086858896,0.25,0.057905931,"210517A",2.486,0.542327382773974
"210610B",1.130333768,2.89514,0.98,21.03780485,-9.19036,1.05139,1.841234296,0.78,1.91684,-4.443697499,1.27765442708108,8.3818356196,0.9604,442.589232906684,84.4627169296,1.1054209321,3.39014373276662,0.6084,3.6742755856,19.7464474626189,0.015836913202155,0.0226,0.02831,0.01291,0.029,0.012063736,0.11,0.022518973,"210610B",1.13,0.328379603438738
"210619B",2.06069784,2.91049117,1.41,21.83430305,-8.55006175,1.12578835,1.784617293,0.745,1.92306,-4.022276395,4.24647558778067,8.47095885064797,1.9881,476.736789679239,73.103555928813,1.26739940899572,3.18485888247465,0.555025,3.6981597636,16.1787073977742,0.00197833385726092,0.01027813,0.01099582,0.00437126,0.07,0.004571521,0.02,0.008308242,"210619B",1.937,0.4679039465228
"210722A",0.342422681,3.6504,1.62,20.54058972,-10.3507,1.43908,1.700703717,0.81,1.83712,-5.602059991,0.117253292463228,13.32542016,2.6244,421.91582604537,107.13699049,2.0709512464,2.89239313301762,0.6561,3.3750098944,31.3830761427629,0.0911698774157967,0.0364819,0.0395981,0.048071,0.09,0.034743559,0.14,0.098703291,"210722A",1.145,0.331427296520743
"210822A",1.442479769,2.4985,1.3,21.53322281,-8.20842,1.267456,2.257198426,0.77,1.70788,-4.698970004,2.08074788397429,6.24250225,1.69,463.679684585104,67.3781588964,1.606444711936,5.09494473433688,0.5929,2.9168540944,22.0803190984918,0.102616483810065,0.017735,0.01621,0.008455,0.026,0.00868589,0.4,0.010974951,"210822A",1.736,0.437116093048079
"211024B",-0.045757491,3.43921565,1.63,20.98677173,-8.56429146,1.92622006,2.780677274,1.07,2.08,-5.167491087,0.00209374798261508,11.8282042872049,2.6569,440.444587647127,73.3470882118289,3.7103237195464,7.73216610214007,1.1449,4.3264,26.7029641342244,0.014863865494915,0.01916437,0.01167528,0.00965772,0.055,0.019160051,0.09,0.096509885,"211024B",1.1137,0.325043347403704
"220101A",0.86332286,3.04134881,1.13,21.90370028,-8.69262974,1.20052929,2.238948898,0.491,1.62241,-4.602059991,0.74532636059858,9.24980258408842,1.2769,479.772085956072,75.5618117967325,1.4412705761479,5.01289216785541,0.241081,2.6322142081,21.1789561607629,0.0313174061753508,0.01431841,0.02317526,0.01255481,0.016,0,0.13,0.017847718,"220101A",4.618,0.749581734865559
"220117A",0.278753601,3.43803362,1.84,21.99532933,-10.1070569,1.68612083,1.697316542,1.2,1.78537,-5.795880017,0.0777035700704672,11.8200751722503,3.3856,483.794512335158,102.152599179838,2.84300345335989,2.88088344374684,1.44,3.1875460369,33.5922251714599,0.0299157959274313,0.05084186,0.04500955,0.06200239,0.55,0.05428681,0.18,0.091430417,"220117A",4.961,0.775319121829478
"220521A",0.672097858,3.30131796,1.97,21.85427081,-10.6276115,1.71067512,1.131939295,1.1,2.02179,-6.091514981,0.451715530728188,10.8987002730186,3.8809,477.609152636818,112.946126194932,2.92640936618701,1.2812865675651,1.21,4.0876348041,37.1065547637474,0.0862659941342183,0.16334814,0.13206168,0.12291833,0.4,0.042893282,0.18,0.036961232,"220521A",5.57,0.817565369559781
"230116D",-0.22184875,3.79761,1.38,20.4221677246815,-11.1278,1.57289,1.612783857,0.84,1.76412,-6.090443971,0.0492168678765625,14.4218417121,1.9044,417.064934575023,123.82793284,2.4739829521,2.6010717693998,0.7056,3.1121193744,37.0935077638903,0.118428290656009,0.1014,0.13824,0.23491,0.22,0.064181451,0.22,0.144764827,"230116D",3.81,0.682145076373832
"230325A",0.51851394,3.7823081,1.82,22.22918251,-10.9066853,0.931411844,1.580354661,1.025,2.0855,-5.886056648,0.268856705974324,14.3058545633256,3.3124,494.13655506289,118.955784233236,0.86752802314348,2.49752085454443,1.050625,4.34931025,34.645662863465,0.131947893505177,0.1875455,0.20042492,0.05714513,0.18,0.066814536,0.18,0.052641755,"230325A",1.664,0.425534220498263
"230328B",0.924279286,3.66388,1.22,21.14580437,-10.1038,1.20938,1.283979284,0.865,1.89331,-5.366531544,0.85429219852867,13.4240166544,1.4884,447.145042454311,102.08677444,1.4625999844,1.64860280174115,0.748225,3.5846227561,28.799660812747,0.0861743625270527,0.0267,0.03231,0.02421,0.84,0.020199743,0.29,0.025850862,"230328B",0.09,0.0374264979406237
"230506C",0.380211242,4.25859,1.89,20.96124782,-11.4531,1.14181,1.491361694,1.11,2.08995,-5.769551079,0.144560588543183,18.1355887881,3.5721,439.373910171455,131.17349961,1.3037300761,2.22415970233055,1.2321,4.3678910025,33.2877196531901,0.0886038540296678,0.1023,0.11841,0.11299,0.29,0.051093469,0.17,0.090478017,"230506C",3.7,0.672097857935718
"230818A",0.826074803,3.9564,1.36,21.31377445,-11.0883,1.39195,0.992111488,1.02,2.00403,-5.721246399,0.682399580151489,15.65310096,1.8496,454.276981305473,122.95039689,1.9375248025,0.984285204621574,1.0404,4.0161362409,32.7326603580705,0.0552798328138297,0.2044,0.12794,0.19715,0.29,0.022857604,0.1,0.032410036,"230818A",2.42,0.534026106056135
"231210B",0.591064607,3.24045,1.08,21.82763844,-10.048,1.60174,0.873320602,0.84,1.66432281,-5.853871964,0.349357369648064,10.5005162025,1.1664,476.445799867366,100.962304,2.5655710276,0.762688873877642,0.7056,2.7699704158863,34.2678169709052,0.037615599688349,0.05243,0.04808,0.060675,0.362,0.062042069,0.19,0.077950292,"231210B",3.13,0.615950051656401
