"","log10Ta","log10PeakFlux","log10NH","log10Fa","PhotonIndex","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"140614A",3.70006,-1.4317581319867,21.3989672,-10.9589,1.5,1.35595,2.857332496,0.83,1.77015,-5.886056648,13.6904440036,2.04993134851005,457.915797226676,120.09748921,2.25,1.8386004025,8.16434899269759,0.6889,3.1334310225,34.645662863465,0.0965452754396361,0.1129,0.098945,0.093145,0.05,0.133629071,0.46,0.163321606984505,"140614A",4.233,0.718750734739665
"140629A",2.85608,0.62324929,21.74269921,-9.847711656,1.86,1.16056,1.62324929,0.815,1.95996,-5.619788758,8.1571929664,0.388439677485504,472.744968936535,96.9774248597183,3.4596,1.3468995136,2.6349382574855,0.664225,3.8414432016,31.5820256845432,0.119342969960682,0.042785,0.06161,0.03501,0.001678552,0.036191207,0.11,0.041361379,"140629A",2.275,0.515211304327802
"141004A",3.30337,0.785329835,21.49730845,-10.61083392,1.86,1.54959,0.593286067,1.08,1.79496,-6.173925197,10.9122533569,0.616742949741127,462.134270594441,112.589796477823,3.4596,2.4012291681,0.351988357296328,1.1664,3.2218814016,38.1173523381515,0.118918281385487,0.0853,0.081935,0.09774,0.005,0.019446022,0.08,0.021358745,"141004A",0.573,0.196728722623287
"141121A",5.76634,-0.045757491,21.59590717,-12.65757732,1.73,2.33322,2.74028372,0.82,1.93447,-5.27572413,33.2506769956,0.00209374798261508,466.383206495257,160.214263611778,2.9929,5.4439155684,7.50915486609704,0.6724,3.7421741809,27.8332650958643,0.0298708467389642,0.1675,0.090095,0.2969,0.01,0.032776942,0.13,0.144764827,"141121A",1.47,0.392696953259666
"141220A",2.77561,0.949390007,21.48574413,-9.872830386,0.62,1.42066,0.857935265,1.1,1.80565,-5.585026652,7.7040108721,0.90134138539146,461.63720081983,97.4727798307249,0.3844,2.0182748356,0.73605291893062,1.21,3.2603719225,31.1925227035503,0.0285379269708387,0.042455,0.057375,0.050735,0.07,0.016703634,0.38,0.034157993,"141220A",1.3195,0.365394376854778
"150120B",3.39431,0.079181246,21.52664292,-10.79048499,2.2,1.17705,2.01762288488796,0.92,2.01678,-6.26760624,11.5213403761,0.00626966971811252,463.396355405186,116.434566319415,4.84,1.3854467025,4.0708021056236,0.8464,4.0674015684,39.2828879796869,0.0141299769251025,0.0711,0.090535,0.057705,0.005,0.039006078,0.151515152,0.0542106768002651,"150120B",3.5,0.653212513775344
"150314A",2.49217,1.58546073,22.01715025,-8.609064893,1.08,1.19079,1.169968174,0.73,1.84772,-4.657577319,6.2109113089,2.51368572637213,484.754905131075,74.1159983318851,1.1664,1.4179808241,1.36882552817289,0.5329,3.4140691984,21.6930264824632,0.07726686575266,0.015025,0.015855,0.009925,0,0.005922197,0.03,0.010152339,"150314A",1.758,0.440594261839831
"150403A",3.19694,1.245512668,21.79039707,-8.821023053,1.23,1.24471,1.611723308,0.679,1.70996,-4.769551079,10.2204253636,1.55130180614848,474.821404468265,77.8104477015574,1.5129,1.5493029841,2.59765202155046,0.461041,2.9239632016,22.7486174951901,0.127565659236116,0.005105,0.006975,0.00458,0,0.00766402,0.04,0.014805494,"150403A",2.06,0.48572142648158
"150821A",2.95174,-1.49776679460977,22.340573,-8.853871964,2.1,1.82628,2.23578087,0.848,2.21622,-6.102372909,8.7127690276,2.24330537103562,499.101201968329,78.3910487549052,4.41,3.3352986384,4.99871609865796,0.719104,4.9116310884,37.2389551204971,0.249936990327389,0.021105,0.015485,0.027365,5e-04,0.104450572,0.37,0.188398851647283,"150821A",0.755,0.244277120801843
"151021A",3.15765,0.986771734,22.33647975,-9.642065153,1.57,1.33346,2.042181595,1.27,1.96079,-4.552841969,9.9707535225,0.973718455021367,498.91832762216,92.9694204146969,2.4649,1.7781155716,4.17050566695674,1.6129,3.8446974241,20.7283699946878,0.0143797213110485,0.06282,0.05208,0.02141,0.04,0.015510517,0.04,0.035818102,"151021A",2.33,0.52244423350632
"151027A",3.99907,0.832508913,21.65076489,-9.935542011,1.72,1.74508,2.11290649,0.9235,2.00612,-5.107905397,15.9925608649,0.693071090224441,468.755620322057,98.7149950523459,2.9584,3.0453042064,4.46437383548412,0.85285225,4.0245174544,26.0906975447017,0.0183350782696789,0.02221,0.01731,0.02499,0.002440971,0.011135756,0.05,0.038320101,"151027A",0.81,0.257678574869184
"151215A",3.06337,0.204119983,21.74269921,-10.72815839,1.99,1.07478,1.250420002,1.015,2.20942,-6.508638306,9.3842357569,0.0416649674599203,472.744968936535,115.093382440927,3.9601,1.1551520484,1.56355018140168,1.030225,4.8815367364,42.3623725983306,0.0244827442519859,0.093,0.11588,0.071395,0.35435971,0.098066496,0.33,0.05428681,"151215A",2.59,0.555094448578319
"160117B",4.10299,-0.705929807788426,20.95374423,-11.74958,1.73,0.973333,0.697062187810827,0.64,1.83834,-6.4710833,16.8345269401,0.498336893524204,439.059397256258,138.0526301764,2.9929,0.947377128889,0.485895693675617,0.4096,3.3794939556,41.8749190755389,0.214744065864423,0.12265,0.162075,0.093958,0.015,0.005627928835757,0.0041822719666068,0.122191721784807,"160117B",0.87,0.271841606536499
"160121A",3.8244,0.079181246,22.12570242,-11.17263073,1.77,0.798663,1.079181246,1.02,2.2054,-6.214670165,14.62603536,0.00626966971811252,489.546707578394,124.82767742894,3.1329,0.637862587569,1.16463216171811,1.0404,4.86378916,38.6221252597411,0.0862757376305275,0.0694,0.120385,0.106048,0.03,0.035597908,0.13,0.072382414,"160121A",1.96,0.471291711058939
"160203A",3.66139836,0.113943352,22.0158332,-11.36754271,1.93,1.146279559,1.305351369,0.61,1.75592,-5.920818754,13.4058379506107,0.0129830874649959,484.696911490222,129.221027263674,3.7249,1.31395682738123,1.70394219655017,0.3721,3.0832550464,35.0560947177181,0.0695758261024457,0.08458679,0.087010427,0.0601909,0.25,0.036191207,0.2,0.133629071,"160203A",3.52,0.655138434811382
"160227A",4.47751,-0.22184875,21.4198963,-10.99567863,0.75,1.10229,2.500373714,0.679,1.72551,-5.508638306,20.0480958001,0.0492168678765625,458.811957502754,120.904948534239,0.5625,1.2150432441,6.25186870966215,0.461041,2.9773847601,30.3450959863305,0.103418641469029,0.03055,0.03885,0.03434,0.001,0.028018999,0.51,0.072382414,"160227A",2.38,0.528916700277655
"160327A",3.76407,0.255272505,20.72655851,-11.22402567,1.84,1.49693,1.447158031,0.78,1.93554,-5.853871964,14.1682229649,0.065164051808975,429.590227668453,125.978752240819,3.3856,2.2407994249,2.0942663666878,0.6084,3.7463150916,34.2678169709052,0.143091047665439,0.0673,0.06033,0.1004,0.02,0.031021034,0.11,0.048254942,"160327A",4.99,0.777426822389311
"160804A",4.38419,0.462397998,21.30214687,-11.5214335,1.4,0.948229,2.15896526,0.92,1.87827,-4.943095149,19.2211219561,0.213811908554408,453.781461271051,132.743429894922,1.96,0.899138236441,4.66113099388687,0.8464,3.5278981929,24.4341896520673,0.057915224642575,0.05875,0.095375,0.070062,0.005,0.011428802,0.23,0.044927015,"160804A",0.736,0.239549720840473
"161108A",4.69106,-0.22184875,21.16074757,-11.81247928,1.85,0.883711,2.021602716,0.84,2.00325,-5.958607315,22.0060439236,0.0492168678765625,447.777237721261,139.534666740429,3.4225,0.780945131521,4.08687754133858,0.7056,4.0130105625,35.5050011343715,0.0491496346156657,0.13355,0.18179,0.0812555,0.005,0.039481317,0.17,0.072382414,"161108A",1.159,0.334252642334231
"161117A",4.08464,0.832508913,21.87736847,-10.74958,1.19,1.141,2.099335278,1.375,1.92624,-4.698970004,16.6842839296,0.693071090224441,478.61925117215,115.5534701764,1.4161,1.301881,4.40720860945534,1.890625,3.7104005376,22.0803190984918,0.00378540226960351,0.03835,0.04019,0.02365,0.674290141,0,0.12,0.019160051,"161117A",1.549,0.406369835469268
"161219B",4.0135,0.72427587,21.16590877,-10.13667714,1.29,0.871656,0.84135947,0.73,1.86204,-5.823908741,16.10818225,0.524575535864257,447.995694059963,102.752223440599,1.6641,0.759784182336,0.707885757758681,0.5329,3.4671929616,33.9179130234962,0.0495608716177928,0.0277,0.03841,0.008668,0,0.028952965,0.35,0.032776942,"161219B",0.1475,0.0597526942092988
"170202A",3.77629,0.672097858,21.7153121,-10.65364703,1.68,1.1958,1.664641976,1.04,1.99768,-5.48148606,14.2603661641,0.451715530728188,471.554779600406,113.500195039828,2.8224,1.42993764,2.77103290826118,1.0816,3.9907253824,30.0466894259743,0.10761765896651,0.04485,0.068655,0.059155,0,0.013160439,0.07,0.027720924,"170202A",3.645,0.666985718329661
"170405A",3.6300738,-0.0335186812736592,21.16074757,-10.31069114,1.59,1.81152426,2.216693599,0.612,1.8473,-5.431798276,13.1774357934464,0.00112350199432515,447.777237721261,106.310351784474,2.5281,3.28162014456855,4.91373051184757,0.374544,3.41251729,29.5044325111566,0.0933217274509788,0.048255345,0.035670699,0.072401387,0.0475,0.035213066,0.12,0.153952769308304,"170405A",3.51,0.65417654187796
"170519A",4.1513,-0.15490196,21.33992622,-11.06348626,1.94,1.37345,2.335257256,0.975,1.97351,-5.958607315,17.23329169,0.0239946172118416,455.392451075043,122.400728225209,3.7636,1.8863649025,5.45342645170065,0.950625,3.8947417201,35.5050011343715,0.0991498519285518,0.053,0.052235,0.066745,0.224423613,0.078962633,0.26,0.062042069,"170519A",0.818,0.259593878885949
"170531B",3.80257,-0.096910013,22.17059025,-11.39577395,1.95,1.02082,2.215187969,0.99,2.06685,-5.698970004,14.4595386049,0.00939155061966017,491.535072033395,129.863663919499,3.8025,1.0420734724,4.90705773800235,0.9801,4.2718689225,32.4782591064918,0.0233394026693868,0.08415,0.11435,0.107427,0.035,0.043429448,0.14,0.10857362,"170531B",2.366,0.527114111639805
"170705A",3.63746,1.1430148,21.08891889,-10.18641901,1.65,0.774169,2.337059726,0.66,1.89159,-5.022276395,13.2311152516,1.30648283301904,444.742499948999,103.763132247289,2.7225,0.599337640561,5.4618481628912,0.4356,3.5781127281,25.2232601877742,0.0361306862803674,0.04055,0.06603,0.027333,0.005,0.013714563,0.05,0.012497683,"170705A",2.01,0.478566495593843
"170903A",4.41384,0.591064607,21.73970839,-11.26042766,1.94,0.971187,1.465382851,1.14,2.20256,-5.619788758,19.4819835456,0.349357369648064,472.614920882236,126.797231086093,3.7636,0.943204188969,2.14734690000489,1.2996,4.8512705536,31.5820256845432,0.0534696645518069,0.04095,0.065935,0.051271,0.005,0.036191207,0.12,0.05567878,"170903A",0.886,0.27554168840131
"171205A",5.48376,0,21.7153121,-12.42945706,1.41,1.13263,2.277379975,0.67,1.66173,-5.443697499,30.0716237376,0,471.554779600406,154.491402806384,1.9881,1.2828507169,5.186459550531,0.4489,2.7613465929,29.6338424606189,0.0806407286915141,0.0719,0.109545,0.115455,0.01,0.036191207,0.14,0.130288345,"171205A",0.0368,0.0156949885265181
"171222A",4.78231,-0.15490196,20.02880298,-12.10957898,2.07,0.718496,2.242541428,1.34,1.99001,-5.721246399,22.8704889361,0.0239946172118416,401.152948811657,146.641903072858,4.2849,0.516236502016,5.02899205629628,1.7956,3.9601398001,32.7326603580705,0.0563106258915239,0.20975,0.378455,0.126956,0.015,0.045715209,0.17,0.124084138,"171222A",2.409,0.532627001228891
"180205A",3.21372,0.531478917,21.4933967,-10.30627305,2.04,1.09633,1.190331698,1.03,1.88733,-6,10.3279962384,0.282469839215493,461.966101703571,106.219264181156,4.1616,1.2019394689,1.41688955126356,1.0609,3.5620145289,36,0.0875106835560367,0.06455,0.088815,0.042095,0.005,0.043429448,0.13,0.038320101,"180205A",1.409,0.381836799998343
"180329B",4.02296,0.146128036,21.41988474,-11.14935376,0.97,1.50063,2.322219295,0.77,1.86768,-5.48148606,16.1842071616,0.0213534029052173,458.811462274885,124.308089265626,0.9409,2.2518903969,5.3927024540703,0.5929,3.4882285824,30.0466894259743,0.091090048181127,0.04825,0.04314,0.069665,0,0.039481317,0.56,0.124084138,"180329B",1.998,0.476831628512261
"180620B",4.6659,0.556302501,21.21643247,-10.98296666,1.3,1.09835,2.29841638,0.9,1.99236,-5,21.77062281,0.309472472618855,450.13700675407,120.625556654672,1.69,1.2063727225,5.2827178558523,0.81,3.9694983696,25,0.0599542916300528,0.0437,0.067125,0.059445,0.005,0.013028834,0.2,0.024127471,"180620B",1.1175,0.325823419002744
"180624A",4.171185481,0.146128036,21.1034582,-11.54363397,1.91,1.243849338,2.686993566,0.95,2.06008,-5.236572006,17.3987883169052,0.0213534029052173,445.355947999147,133.255485233338,3.6481,1.54716117564304,7.2199344237254,0.9025,4.2439296064,27.4216863740229,0.0343795484387942,0.088149935,0.099379055,0.123366444,0,0.022463508,0.1,0.062042069,"180624A",2.855,0.586024382386976
"180720B",3.62033,1.831869774,21.24271531,-8.847711656,1.36,1.34127,3.06444019010425,0.729,1.8461,-4.065501549,13.1067893089,3.35574686889481,451.252953741708,78.2820015477183,1.8496,1.7990052129,9.39079367872618,0.531441,3.40808521,16.5283028449214,0.00138098327707093,0.004975,0.00614,0.005375,0,0.005049936,0.03,0.016629833,"180720B",0.654,0.218535505216528
"180728A",3.8695,2.120573931,21.58733599,-9.42365865,1.97,1.1986,0.938519725,0.8595,1.70111,-4.528708289,14.97303025,4.49683379683679,466.013075145149,88.8053423517198,3.8809,1.43664196,0.880819274214076,0.73874025,2.8937752321,20.5091987668573,0.0148761559757772,0.009885,0.014745,0.0091,0.042486494,0.008803267,0.03,0.009541318,"180728A",0.117,0.0480531731156091
"181010A",3.15711,0.146128036,22.27837171,-9.928117993,1.52,1.07011,1.214843848,1.115,1.76613,-6.161150909,9.9673435521,0.0213534029052173,496.325846048928,98.5675268829304,2.3104,1.1451354121,1.47584557502345,1.243225,3.1192151769,37.9597805234715,0.0580681587793652,0.034615,0.057805,0.033375,0.007041969,0.04405886,0.15,0.062042069,"181010A",1.39,0.378397900948138
"181020A",4.29043,0.886490725,20.65703194,-10.42365865,1.25,2.64643,2.376576957,1.228,1.93674,-5.091514981,18.4077895849,0.785865805511026,426.71296857018,108.65265965172,1.5625,7.0035917449,5.64811803254338,1.507984,3.7509618276,25.9235248017474,0.0211468897196027,0.1418,0.047555,0.091985,0.029531206,0.016084981,0.06,0.016920564,"181020A",2.938,0.595275711802099
"190114A",3.74534,-0.301029996,21.6447605,-10.75202673,2.06,1.18375,1.823474229,0.86,1.83214,-6.096910013,14.0275717156,0.09061905849176,468.49565710236,115.606078802635,4.2436,1.4012640625,3.32505826382714,0.7396,3.3567369796,37.1723117066197,0.0664080102705681,0.03365,0.042215,0.04616,0,0.065144172,0.22,0.173717793,"190114A",3.3765,0.641126932803509
"190719C",4.88123,0.740362689,20.95382587,-11.257,1.64,1.55953,2.268811904,0.915,1.5415,-5.292429824,23.8264063129,0.548136911263311,439.062818590281,126.720049,2.6896,2.4321338209,5.14750745573211,0.837225,2.37622225,28.0098134419647,0.0226602223323686,0.2175,0.1943,0.21085,0.22,0.025546734,0.09,0.02368879,"190719C",2.469,0.54020429984206
"190829A",4.0838,1.255272505,22.04910001,-9.56068,2.56,1.03996,1.764922985,1.16,2.0913,-5.193820026,16.67742244,1.57570906180898,486.162811250982,91.4066020624,6.5536,1.0815168016,3.11495314298131,1.3456,4.37353569,26.9757664624786,0.0660733687520347,0.013585,0.01916,0.009675,0.075,0.047500959,0.21,0.065144172,"190829A",0.0785,0.0328201494385639
"191011A",3.15321333,0.255272505,21.65033473,-10.8132081,1.94,1.30602449,0.867467488,0.94,1.81479,-6.48148606,9.94275430448969,0.065164051808975,468.736993921044,116.925469413906,3.7636,1.70569996847976,0.75249984273703,0.8836,3.2934627441,42.0096615459743,0.0559978453284278,0.05719327,0.06597695,0.05756962,0.19,0.052641755,0.17,0.048254942,"191011A",1.722,0.434888120867316
"191221B",1.95518066,0.681241237,21.16590877,-8.11145684,1.24,1.15734724,1.681241237,1.39,1.843,-4.721246399,3.82273141323804,0.46408962298929,447.995694059963,65.7957320671828,1.5376,1.33945263393562,2.82657209698929,1.9321,3.396649,22.2901675600705,0.14476482742628,0.06184721,0.05366691,0.00551831,0.175,0.022857604,0.05,0.063334612,"191221B",1.148,0.332034277027518
"200205B",4.53640048,0.301029996,21.81792086,-11.7337376,1.36,1.56884903,2.660865478,0.516,1.90881,-5.26760624,20.5789293149442,0.09061905849176,476.021670653223,137.680598065654,1.8496,2.46128727893194,7.08020509201217,0.266256,3.6435556161,27.7476754996869,0.0051064352834946,0.10035241,0.08886983,0.19267266,0.18,0.016084981,0.22,0.043429448,"200205B",1.465,0.391816923613249
"200829A",2.97975,1.994317153,21.08966848,-8.6381,0.83,1.29833,1.115277591,0.64,1.88219,-4.292429824,8.8789100625,3.97730090675002,444.774116596306,74.61677161,0.6889,1.6856607889,1.24384410498676,0.4096,3.5426391961,18.4249537939647,0.0969169435192129,0.00955,0.00926,0.00866,0.0195,0.008515578,0.03,0.007040235,"200829A",1.25,0.352182518111362
"201104B",2.72159651,0.612783857,21.73058526,-9.38944702,1.47,1.19537497,0.937517892,0.605,1.55046,-5.744727495,7.40708756324418,0.375504055399796,472.218335742129,88.1617153413869,2.1609,1.4289213189025,0.878939797820124,0.366025,2.4039262116,33.001893991809,0.00811616012140756,0.02110237,0.02972805,0.02348264,0.175,0.024127471,0.07,0.031777645,"201104B",1.954,0.470410490975931
"210210A",3.72413045,0.84509804,21.12319546,-10.1403778,1.53,1.5451851,0.819543936,0.965,1.85188,-6.008773924,13.8691476086172,0.714190697211842,446.189386441365,102.827261926733,2.3409,2.38759699326201,0.671652263034372,0.931225,3.4294595344,36.1053640697424,0.038778433249538,0.05799791,0.08857348,0.10645081,0.15,0.035452611,0.58,0.031021034,"210210A",0.715,0.234264124378789
"210411C",2.93128506,0.681241237,21.05996459,-9.72925773,1.6,1.16829405,1.10720997,1.21,1.88408,-5.920818754,8.5924321029792,0.46408962298929,443.522108532054,94.6584559767648,2.56,1.3649109872654,1.2259139176674,1.4641,3.5497574464,35.0560947177181,0.0202577864729536,0.05048963,0.05901459,0.03209979,0.14,0.036191207,0.4,0.027143405,"210411C",2.826,0.582744965691277
"210517A",3.057651,0.176091259,21.15768338,-10.8415194,1.85,1.21043545,0.485721426,0.66,1.71079,-6.823908741,9.349229637801,0.0310081314962051,447.647566008328,117.538542900576,3.4225,1.4651539786167,0.235925303675473,0.4356,2.9268024241,46.5657305054962,0.199990220376636,0.25872455,0.32132806,0.08060357,0.22,0.086858896,0.25,0.057905931,"210517A",2.486,0.542327382773974
"210610B",2.89514,1.130333768,21.03780485,-9.19036,0.98,1.05139,1.841234296,0.78,1.91684,-4.443697499,8.3818356196,1.27765442708108,442.589232906684,84.4627169296,0.9604,1.1054209321,3.39014373276662,0.6084,3.6742755856,19.7464474626189,0.015836913202155,0.0226,0.02831,0.01291,0.029,0.012063736,0.11,0.022518973,"210610B",1.13,0.328379603438738
"210619B",2.91049117,2.06069784,21.83430305,-8.55006175,1.41,1.12578835,1.784617293,0.745,1.92306,-4.022276395,8.47095885064797,4.24647558778067,476.736789679239,73.103555928813,1.9881,1.26739940899572,3.18485888247465,0.555025,3.6981597636,16.1787073977742,0.00197833385726092,0.01027813,0.01099582,0.00437126,0.07,0.004571521,0.02,0.008308242,"210619B",1.937,0.4679039465228
"210722A",3.6504,0.342422681,20.54058972,-10.3507,1.62,1.43908,1.700703717,0.81,1.83712,-5.602059991,13.32542016,0.117253292463228,421.91582604537,107.13699049,2.6244,2.0709512464,2.89239313301762,0.6561,3.3750098944,31.3830761427629,0.0911698774157967,0.0364819,0.0395981,0.048071,0.09,0.034743559,0.14,0.098703291,"210722A",1.145,0.331427296520743
"210822A",2.4985,1.442479769,21.53322281,-8.20842,1.3,1.267456,2.257198426,0.77,1.70788,-4.698970004,6.24250225,2.08074788397429,463.679684585104,67.3781588964,1.69,1.606444711936,5.09494473433688,0.5929,2.9168540944,22.0803190984918,0.102616483810065,0.017735,0.01621,0.008455,0.026,0.00868589,0.4,0.010974951,"210822A",1.736,0.437116093048079
"211024B",3.43921565,-0.045757491,20.98677173,-8.56429146,1.63,1.92622006,2.780677274,1.07,2.08,-5.167491087,11.8282042872049,0.00209374798261508,440.444587647127,73.3470882118289,2.6569,3.7103237195464,7.73216610214007,1.1449,4.3264,26.7029641342244,0.014863865494915,0.01916437,0.01167528,0.00965772,0.055,0.019160051,0.09,0.096509885,"211024B",1.1137,0.325043347403704
"220117A",3.43803362,0.278753601,21.99532933,-10.1070569,1.84,1.68612083,1.697316542,1.2,1.78537,-5.795880017,11.8200751722503,0.0777035700704672,483.794512335158,102.152599179838,3.3856,2.84300345335989,2.88088344374684,1.44,3.1875460369,33.5922251714599,0.0299157959274313,0.05084186,0.04500955,0.06200239,0.55,0.05428681,0.18,0.091430417,"220117A",4.961,0.775319121829478
"220521A",3.30131796,0.672097858,21.85427081,-10.6276115,1.97,1.71067512,1.131939295,1.1,2.02179,-6.091514981,10.8987002730186,0.451715530728188,477.609152636818,112.946126194932,3.8809,2.92640936618701,1.2812865675651,1.21,4.0876348041,37.1065547637474,0.0862659941342183,0.16334814,0.13206168,0.12291833,0.4,0.042893282,0.18,0.036961232,"220521A",5.57,0.817565369559781
"230116D",3.79761,-0.22184875,22.56252244,-11.1278,1.38,1.57289,1.612783857,0.84,1.76412,-6.090443971,14.4218417121,0.0492168678765625,509.067418855503,123.82793284,1.9044,2.4739829521,2.6010717693998,0.7056,3.1121193744,37.0935077638903,0.118428290656009,0.1014,0.13824,0.23491,0.22,0.064181451,0.22,0.144764827,"230116D",3.81,0.682145076373832
"230325A",3.7823081,0.51851394,22.22918251,-10.9066853,1.82,0.931411844,1.580354661,1.025,2.0855,-5.886056648,14.3058545633256,0.268856705974324,494.13655506289,118.955784233236,3.3124,0.86752802314348,2.49752085454443,1.050625,4.34931025,34.645662863465,0.131947893505177,0.1875455,0.20042492,0.05714513,0.18,0.066814536,0.18,0.052641755,"230325A",1.664,0.425534220498263
"230506C",4.25859,0.380211242,20.96124782,-11.4531,1.89,1.14181,1.491361694,1.11,2.08995,-5.769551079,18.1355887881,0.144560588543183,439.373910171455,131.17349961,3.5721,1.3037300761,2.22415970233055,1.2321,4.3678910025,33.2877196531901,0.0886038540296678,0.1023,0.11841,0.11299,0.29,0.051093469,0.17,0.090478017,"230506C",3.7,0.672097857935718
"230818A",3.9564,0.826074803,21.31377445,-11.0883,1.36,1.39195,0.992111488,1.02,2.00403,-5.721246399,15.65310096,0.682399580151489,454.276981305473,122.95039689,1.8496,1.9375248025,0.984285204621574,1.0404,4.0161362409,32.7326603580705,0.0552798328138297,0.2044,0.12794,0.19715,0.29,0.022857604,0.1,0.032410036,"230818A",2.42,0.534026106056135
"231210B",3.24045,0.591064607,21.82763844,-10.048,1.08,1.60174,0.873320602,0.84,1.66432281,-5.853871964,10.5005162025,0.349357369648064,476.445799867366,100.962304,1.1664,2.5655710276,0.762688873877642,0.7056,2.7699704158863,34.2678169709052,0.037615599688349,0.05243,0.04808,0.060675,0.362,0.062042069,0.19,0.077950292,"231210B",3.13,0.615950051656401
"100219A",3.5550745491874,0.287836955700179,20.7072247360027,-10.9334393435974,2.21796560294825,1.53357463379648,1.274157849,0.942114320896965,1.98280173576699,-5.84480170653268,12.63855505028,0.0828501130667469,428.789156267322,119.540095880123,4.91937141586158,2.35185115742401,1.62347822416831,0.88757939363915,3.93150272336058,34.1617069886873,0.119457709009036,0.822151956287133,0.641482520744618,0.293124676071266,0.208586164642881,0.460134928062027,0.435131434612515,0.492799008663001,"100219A",4.67,0.753583058892907
"100316D",4.66846146620404,0.342060198459402,20.7047087329603,-10.8579131682838,2.20242120246746,1.75355963791299,2.717570654,0.926569920416175,1.95229904212254,-5.68737745695412,21.794532461432,0.117005179370085,428.684963716724,117.89427836999,4.8506591530782,3.07497140371754,7.38519025948199,0.858531817420036,3.81147154987258,32.34626233787,0.00430329755216147,0.818778561102085,0.646027282674018,0.29804023577143,0.188997090716444,0.599071626291112,0.435131434612515,0.362254742015442,"100316D",0.06,0.0253058652647703
"100508A",3.8328814755778,0.33186831211544,20.9325978203991,-10.8612914243937,2.14546038219136,1.16053591955701,1.716003344,0.869609100140076,2.00877209870535,-5.65669576384457,14.6909804058275,0.110136576586351,438.173651510576,117.967651405608,4.60300025155269,1.34684362058204,2.94466747661918,0.756219987046432,4.0351653445371,31.9982069646972,0.043188556271497,0.796620830265322,0.607234309860418,0.308882747368254,0.212233474672427,0.451065745498141,0.435131434612515,0.505553215839823,"100508A",0.5201,0.181872159010334
"101225A",4.30533837026906,0.279121335692082,20.9538755948721,-11.4453444190571,2.16069529597687,1.06841621588844,3.036628895,0.884844013925587,2.02757064485142,-5.79160174107217,18.535938482511,0.077908720038532,439.064902445377,130.995908870841,4.66860416205657,1.14151321037337,9.22111504594892,0.782948928979945,4.11104271986321,33.5426507271902,0.00206415894290363,0.82410854545242,0.662357828439583,0.285695253257142,0.200375461263254,0.530261596095002,0.435131434612515,0.433709425203321,"101225A",0.33,0.123851640967086
"110205A",4.12447667765623,0.275283806147781,20.388902970703,-10.9414959935364,2.17162921678151,1.66548696307048,2.409933123,0.895777934730225,1.98338099749423,-5.65111203207755,17.0113078645302,0.0757811739272093,415.707364348743,119.716334576574,4.71597345517906,2.77384682415774,5.80777765733253,0.802418108349547,3.93380018122121,31.9350671990916,0.00873854058256627,0.754318547138539,0.581541943084264,0.29068528294933,0.207689479656747,0.469234742748351,0.435131434612515,0.42858030435343,"110205A",2.21,0.506505032404872
"110801A",3.79945122167876,0.580575276005809,21.1708882762376,-10.4137429727986,2.21241909495019,1.50053150005181,2.58546073,0.936567812898905,1.96599015983764,-5.47746983477461,14.4358295859162,0.337067651109221,448.206510404934,108.446042703512,4.8947982517002,2.25159478264773,6.68460718637213,0.877159268158238,3.86511730857844,30.0026757908658,0.00583325954666165,0.798224989661218,0.594043641633318,0.282593371513314,0.206518476204361,0.536128642260156,0.435131434612515,0.509051704372851,"110801A",1.858,0.456062224454951
"111107A",3.51009002092789,0.351918091356875,20.9606773573131,-10.7456500455475,2.19098346880831,1.08283531471763,1.424881637,0.915132186757025,2.017832004598,-5.78904103043926,12.3207319550176,0.123846343024266,439.349995277376,115.468994901374,4.80040856059128,1.17253231879963,2.0302876794598,0.837466919238694,4.07164599877998,33.5129960521092,0.0844287566202461,0.795220945221138,0.61484531367953,0.280521103009922,0.195759763064699,0.439063975186715,0.435131434612515,0.435173922792042,"111107A",2.893,0.590284403718162
"011211A",4.230517003406,0.221049333592937,20.0374134071366,-11.1556017679022,2.148636181418,1.70514534884549,2.431363764,0.872784899366723,1.98521249513382,-5.72312387111579,17.8972741161073,0.0488628078818818,401.497936048498,124.447450804023,4.61663744009855,2.90752066068939,5.91152975289225,0.761753480562581,3.94106865083546,32.7541468441353,0.00831779603269816,0.809873988821759,0.603392395305161,0.273896198207744,0.186034126725646,0.454496132094247,0.435131434612515,0.366286178666417,"011211A",2.14,0.496929648073215
"120119A",3.60478989503004,0.503345949259836,21.067592266369,-10.5100924659545,2.20064979128952,1.45932907066163,2.404491618,0.924798509238243,1.96955390163785,-5.61821200368892,12.9945101873107,0.253357144636285,443.84344390197,110.462043642913,4.84285950390263,2.12964133647815,5.78157994103226,0.855252282689276,3.87914257145687,31.5643061183943,0.00884871917556533,0.782521865319912,0.609775585931412,0.288597001845839,0.212987778020553,0.514666847306467,0.435131434612515,0.509882045383005,"120119A",3.1,0.612783856719735
